Easting;Northing;Elevation
2495849.319;1140699.112;1441.9
2495849.319;1140674.112;1440.6
2495874.319;1140674.112;1435
2495849.319;1140649.112;1440.4
2495874.319;1140649.112;1431.5
2495899.319;1140649.112;1423.1
2495824.319;1140624.112;1441.1
2495849.319;1140624.112;1440.4
2495874.319;1140624.112;1430.3
2495899.319;1140624.112;1424.4
2495924.319;1140624.112;1416.9
2495949.319;1140624.112;1416.9
2495824.319;1140599.111;1440.1
2495849.319;1140599.111;1434.1
2495874.319;1140599.111;1424.8
2495899.319;1140599.111;1423.5
2495924.319;1140599.111;1420.4
2495949.319;1140599.111;1420.4
2495974.319;1140599.111;1418.2
2495999.319;1140599.111;1415.9
2496024.319;1140599.111;1415.4
2495799.319;1140574.111;1427.7
2495824.319;1140574.111;1426.2
2495849.319;1140574.111;1421.9
2495874.319;1140574.111;1417.6
2495899.319;1140574.111;1414.1
2495924.319;1140574.111;1416.7
2495949.319;1140574.111;1416.7
2495974.319;1140574.111;1412.6
2495999.319;1140574.111;1410.5
2496024.319;1140574.111;1412.8
2496049.319;1140574.111;1415.8
2496074.319;1140574.111;1420.2
2495799.319;1140549.111;1424
2495824.319;1140549.111;1418.3
2495849.319;1140549.111;1415.7
2495874.319;1140549.111;1410.9
2495899.319;1140549.111;1408.4
2495924.319;1140549.111;1407.9
2495949.319;1140549.111;1407.9
2495974.319;1140549.111;1405.6
2495999.319;1140549.111;1405
2496024.319;1140549.111;1406.5
2496049.319;1140549.111;1409.3
2496074.319;1140549.111;1414.1
2496099.32;1140549.111;1420
2496124.32;1140549.111;1421
2495774.319;1140524.111;1425.9
2495799.319;1140524.111;1425.7
2495824.319;1140524.111;1420.5
2495849.319;1140524.111;1420.7
2495874.319;1140524.111;1413.1
2495899.319;1140524.111;1408
2495924.319;1140524.111;1402.6
2495949.319;1140524.111;1402.6
2495974.319;1140524.111;1400.3
2495999.319;1140524.111;1399.3
2496024.319;1140524.111;1400.8
2496049.319;1140524.111;1403.8
2496074.319;1140524.111;1406.3
2496099.32;1140524.111;1403.7
2496124.32;1140524.111;1412.1
2496149.32;1140524.111;1408.7
2495774.319;1140499.11;1425.9
2495799.319;1140499.11;1425.7
2495824.319;1140499.11;1420.5
2495849.319;1140499.11;1420.7
2495874.319;1140499.11;1413.1
2495899.319;1140499.11;1408
2495924.319;1140499.11;1402.6
2495949.319;1140499.11;1402.6
2495974.319;1140499.11;1400.3
2495999.319;1140499.11;1399.3
2496024.319;1140499.11;1400.8
2496049.319;1140499.11;1403.8
2496074.319;1140499.11;1406.3
2496099.32;1140499.11;1403.7
2496124.32;1140499.11;1412.1
2496149.32;1140499.11;1408.7
2496174.32;1140499.11;1408.7
2495749.319;1140474.11;1422.7
2495774.319;1140474.11;1420.6
2495799.319;1140474.11;1420.4
2495824.319;1140474.11;1421.3
2495849.319;1140474.11;1421.3
2495874.319;1140474.11;1414.9
2495899.319;1140474.11;1408.3
2495924.319;1140474.11;1399.4
2495949.319;1140474.11;1399.4
2495974.319;1140474.11;1395.3
2495999.319;1140474.11;1391.3
2496024.319;1140474.11;1387.7
2496049.319;1140474.11;1389
2496074.319;1140474.11;1394.7
2496099.32;1140474.11;1394.8
2496124.32;1140474.11;1396.2
2496149.32;1140474.11;1398.1
2496174.32;1140474.11;1398.1
2496199.32;1140474.11;1398.7
2495749.319;1140449.11;1420.8
2495774.319;1140449.11;1415.1
2495799.319;1140449.11;1409.9
2495824.319;1140449.11;1418
2495849.319;1140449.11;1420.1
2495874.319;1140449.11;1417.2
2495899.319;1140449.11;1409.3
2495924.319;1140449.11;1399.3
2495949.319;1140449.11;1399.3
2495974.319;1140449.11;1395.6
2495999.319;1140449.11;1392
2496024.319;1140449.11;1388.7
2496049.319;1140449.11;1385.9
2496074.319;1140449.11;1388.6
2496099.32;1140449.11;1390.4
2496124.32;1140449.11;1392.7
2496149.32;1140449.11;1395
2496174.32;1140449.11;1395
2496199.32;1140449.11;1398.8
2496224.32;1140449.11;1394.4
2495749.319;1140424.11;1409.9
2495774.319;1140424.11;1409.4
2495799.319;1140424.11;1408.2
2495824.319;1140424.11;1408.4
2495849.319;1140424.11;1411.2
2495874.319;1140424.11;1414
2495899.319;1140424.11;1409.8
2495924.319;1140424.11;1396.8
2495949.319;1140424.11;1396.8
2495974.319;1140424.11;1393.3
2495999.319;1140424.11;1391.5
2496024.319;1140424.11;1388.2
2496049.319;1140424.11;1383.1
2496074.319;1140424.11;1385.8
2496099.32;1140424.11;1387.3
2496124.32;1140424.11;1388.8
2496149.32;1140424.11;1392
2496174.32;1140424.11;1392
2496199.32;1140424.11;1395.6
2496224.32;1140424.11;1397.4
2495749.319;1140399.11;1409.9
2495774.319;1140399.11;1409
2495799.319;1140399.11;1406.8
2495824.319;1140399.11;1405.8
2495849.319;1140399.11;1407.7
2495874.319;1140399.11;1409.3
2495899.319;1140399.11;1407.4
2495924.319;1140399.11;1394.3
2495949.319;1140399.11;1394.3
2495974.319;1140399.11;1387.9
2495999.319;1140399.11;1385.2
2496024.319;1140399.11;1384.1
2496049.319;1140399.11;1381.3
2496074.319;1140399.11;1382.8
2496099.32;1140399.11;1384.3
2496124.32;1140399.11;1385.8
2496149.32;1140399.11;1389.5
2496174.32;1140399.11;1389.5
2496199.32;1140399.11;1394.3
2496224.32;1140399.11;1397.4
2496249.32;1140399.11;1396.9
2495774.319;1140374.109;1410.2
2495799.319;1140374.109;1407.9
2495824.319;1140374.109;1405.5
2495849.319;1140374.109;1403.2
2495874.319;1140374.109;1404.2
2495899.319;1140374.109;1403.4
2495924.319;1140374.109;1392.9
2495949.319;1140374.109;1392.9
2495974.319;1140374.109;1381.4
2495999.319;1140374.109;1377.8
2496024.319;1140374.109;1377.1
2496049.319;1140374.109;1376.6
2496074.319;1140374.109;1380.4
2496099.32;1140374.109;1382.6
2496124.32;1140374.109;1384.7
2496149.32;1140374.109;1388.5
2496174.32;1140374.109;1388.5
2496199.32;1140374.109;1391.5
2496224.32;1140374.109;1393.4
2496249.32;1140374.109;1393.1
2496274.32;1140374.109;1395.4
2495774.319;1140349.109;1413.3
2495799.319;1140349.109;1410.5
2495824.319;1140349.109;1408
2495849.319;1140349.109;1405.3
2495874.319;1140349.109;1401.4
2495899.319;1140349.109;1397.8
2495924.319;1140349.109;1384.7
2495949.319;1140349.109;1384.7
2495974.319;1140349.109;1378.7
2495999.319;1140349.109;1375.5
2496024.319;1140349.109;1372.3
2496049.319;1140349.109;1373.2
2496074.319;1140349.109;1379.4
2496099.32;1140349.109;1382
2496124.32;1140349.109;1384.2
2496149.32;1140349.109;1388.8
2496174.32;1140349.109;1388.8
2496199.32;1140349.109;1393.9
2496224.32;1140349.109;1390
2496249.32;1140349.109;1387
2496274.32;1140349.109;1391.5
2496299.32;1140349.109;1393.4
2496324.32;1140349.109;1395.1
2495799.319;1140324.109;1412
2495824.319;1140324.109;1410.3
2495849.319;1140324.109;1407.6
2495874.319;1140324.109;1403.3
2495899.319;1140324.109;1398.4
2495924.319;1140324.109;1383.2
2495949.319;1140324.109;1383.2
2495974.319;1140324.109;1377.8
2495999.319;1140324.109;1372.4
2496024.319;1140324.109;1369.3
2496049.319;1140324.109;1369.9
2496074.319;1140324.109;1375.5
2496099.32;1140324.109;1380.5
2496124.32;1140324.109;1382.6
2496149.32;1140324.109;1390.8
2496174.32;1140324.109;1390.8
2496199.32;1140324.109;1393.6
2496224.32;1140324.109;1386.5
2496249.32;1140324.109;1380.1
2496274.32;1140324.109;1384.4
2496299.32;1140324.109;1390.8
2496324.32;1140324.109;1392.5
2496349.32;1140324.109;1393.7
2496374.32;1140324.109;1393.4
2495799.319;1140299.109;1411
2495824.319;1140299.109;1410.9
2495849.319;1140299.109;1409.5
2495874.319;1140299.109;1405.2
2495899.319;1140299.109;1401.6
2495924.319;1140299.109;1392.9
2495949.319;1140299.109;1392.9
2495974.319;1140299.109;1380.1
2495999.319;1140299.109;1373.6
2496024.319;1140299.109;1367.6
2496049.319;1140299.109;1366.6
2496074.319;1140299.109;1369.8
2496099.32;1140299.109;1373.1
2496124.32;1140299.109;1381.9
2496149.32;1140299.109;1391
2496174.32;1140299.109;1391
2496199.32;1140299.109;1391.8
2496224.32;1140299.109;1391
