PROFONDEUR_TOIT	PROFONDEUR_BASE	ID_UNITE_GEOL	NPXY
22	23	12160	6d12
0.7	0.9	8875	3
0.75	2.15	7700	3
42	68	7628	7c
0	2.9	13800	2
3	14.3	13886	2
0.35	6.75	7534	2
39.1	45	12125	9a
5.5	6.1	1544	4c
6.2	6.4	13450	6b
5.15	6	13401	7d12
6.7	8	8852	6e2
52	66	7215	12b
0.65	2.15	451	1-2
15.2	17.2	9684	9a
2.9	3.2	2441	2
20.2	20.9	8074	9e
34.4	40	12207	12d
1.5	4.1	7070	6e1
1.35	2.1	7776	6d12
0	0.2	11954	2
64.6	65	1896	11b
0.7	1.2	8683	2
10	18	13558	6c
18.3	24	1901	7c
4	22	13292	7c
1	2.3	7617	5
0	2	7808	2
20	21.3	14427	7e
9.15	12	7519	9a
0.2	0.5	9111	2
1.2	2.2	8080	4a
0	15	7652	7d
0	4.3	12017	2
1.2	1.75	8682	6b
0	0.45	1347	1
6	8	8809	6b
0	0.75	8465	2
2	3.1	13404	7c
0.9	4.8	14469	9b
0.55	1	2293	3c
8.7	11.6	2419	7c1
35.5	36.1	11849	9a
52	72	4395	12c
0	0.5	12159	1
12.3	13.5	13793	9
7.8	12.6	13133	7d1
6.65	8.8	13364	7d
0.8	1.6	8695	6b
1.2	1.7	13133	7c12
6.5	8.5	9121	6e2
14.1	17.8	7877	8e12
7	8.3	13743	9a
1.5	4.75	7992	6c12
2.1	3.2	1714	4a
0.5	1.5	8921	2
0.5	6.6	7893	6e2
20	26	12299	7d
1.7	4.1	7062	7d1
15	16	13379	7c
14.6	16.1	7834	7a
1.8	2.5	7765	3
8	8.8	854	11b
0.25	4.75	6216	2
96	102	13525	12d
9	10.5	14373	7b
12.7	15	8877	7d2
24	30	642	7-12a
2	2.5	14336	2b
9.2	39.5	2547	9a
0.7	9.3	13258	7c1
0.4	1.9	12051	2c
0	0.3	8663	1
9.6	14.3	8913	6c2
0	0.3	14320	1
1.2	4.2	13279	6a
2	2.8	9307	2
3.1	4.2	9213	7d1
1.1	1.8	13737	3
2.4	7.6	9241	6b
0	0.4	7564	1
0.3	0.6	9157	2
7.2	7.8	9276	7d12
3.2	4	8684	6e
0	0.1	12140	2
78	99	919	9a
9.2	20	8627	9a
2.6	2.8	8732	6e2
4.9	6.1	13515	6d1
0	0.9	14289	2
0	0.8	13408	2
1.9	2.9	9379	6b
0.55	1.6	13495	2c
27	33	728	7-12e
7	10	12308	9a
0	0.7	13962	2
11.25	45.2	7063	9a
1.6	2.4	8616	2
0	4.5	7529	9a
0.4	2.1	8338	2
4.6	6	7783	7e12
44	50	6191	7c
8	10.9	12316	7d12
12.1	39.5	12026	9a
0	1.85	6990	2
0	0.2	12232	1
4.6	7.3	9723	7d
5	9	8803	6c
48.6	55.4	14352	4-9d
11	12	9642	9a
11.6	24.5	12094	9a
0.25	1.1	8714	2
10.5	12	13381	9a
0	3.5	12558	6e
0	0.9	8892	1
1.1	1.5	9259	6b
0.6	1.4	8620	2
3.45	4.55	13533	4a
4.5	9	13128	9a
0	1.9	2980	2
0.8	4	11964	9a
0.8	5.7	8263	6b
32.1	33.5	8699	7e1
0.8	3.4	13519	3d
4.6	5.15	13966	4
13.7	17.9	12334	6d12
0.5	2.1	13499	2
0	2.1	1808	4a
0	0.3	13622	1
20	23.5	14400	12e
5.1	6.1	1574	4c
0	0.7	7767	2
11.8	12.3	13229	6d
19.8	20.8	12137	6d12
0	28	7625	6a
2.2	4.1	1543	3
3.6	9.5	9221	7e2
12.5	14	9156	6e12
1.7	4.55	13754	7d
0	2.5	2499	2
7.3	7.6	13825	712
11	14	13664	9b
1.1	12	8905	6c2
9.9	11.25	9063	7c
0	2.05	7811	2
66	68	13007	7b
5.6	11.2	11958	9a
7.75	9	9557	9a
4.4	5	8234	7e1
0	0.55	7734	2
1.05	2.8	2018	2
0.85	5	8803	6b
1.1	2	8641	6a1
2.5	3.4	7880	2
13.1	13.3	12049	9c
28	32	6665	7a
3.4	5.6	13249	4a
0	0.1	13632	1
8	9	12190	6e
0	0.3	9167	1
28	30	7228	9e
3.6	21.5	9778	9a
4	6	7788	7d
8.2	23	8619	9a
24	40	11840	6b
2.1	2.45	8628	2
16.8	17.7	9096	6d2
0	0.07	12027	1
3.05	3.65	8823	6a
6.1	7.5	13516	7d1
2.03	4	13982	4
25.6	27.7	8400	9a
16.5	17.3	14352	4-9a
4	4.7	2657	4a
2.35	8	9090	7d
0.3	0.6	13630	1
1.8	2.2	11831	2
0	0.3	8472	2
3.42	7.8	8412	6d2
0	0.15	9134	2
0.6	3.8	8547	6b
36.9	95	12300	9a
14.6	18	12042	9a
23.45	24	12157	7b
0.3	1.1	9128	2
5.4	9.1	13966	4
8.9	10	11966	9a
0.9	4.4	9280	6b
11.5	22	13801	9a
11.2	11.5	9068	6d2
13	20.3	7850	7d12
0	0.3	12322	2
7.7	11.1	10919	14-15
4.55	6	7986	6d
0	4	6626	7c
0	0.5	8523	2
8.7	11.1	9042	6d2
0.3	1	8728	3c1
24.6	30.55	2371	7d12
1.1	1.9	9129	3
5.2	10	7888	7e12
4.6	5.1	6988	9c
0.8	1.5	7760	3
6.5	10.3	13378	6d
25.8	28.45	12166	7d12
0	0.1	12163	1
12.7	13	13961	6
4	10	9595	7a
1.3	2	8691	6a
0	1.1	14441	1
4.9	6.3	8398	6e2
22.3	25.2	2377	7d1
20	28	13530	7e
7	12	8570	7e12
19.5	21.3	1935	6c
0.75	1	12169	2
15.2	16.7	12147	7c1
4.8	7.6	9567	7d12
1.2	10	12297	2
0	0.2	2548	1
0	0.1	7736	1
0.5	1	8635	3
9.5	14.1	9271	6e2
13.1	24.5	7579	7c
9.8	11.1	13266	2d
7.1	7.5	14350	7b
2.3	4.3	8911	6c
3.3	5.3	11995	6b2
17	20	1298	9b
1.1	7	9117	6b
10	11	11877	6d12
11.2	17.7	7979	6c2
0.7	6	8809	6c2
6	8	7455	9a
15.5	17.25	13229	6e
20.5	22.5	7958	7d12
0	0.1	9741	1
1.1	3.9	9278	6b
8.4	18.1	8013	6d2
30.4	37.6	2367	7d1
0	0.7	9051	2
0	1.5	11859	1
12	38	8203	7e
2.3	2.6	8732	6c2
19.6	20.9	12157	7d12
0.15	3	9058	6c
27.55	27.8	14410	9a
1.2	1.9	8586	6b
4.6	5.2	11831	2
0	0.4	13613	2
42	48	4375	8d1
0.7	1.7	10649	3d
6	10	487	7-12e
2	4	12555	6e
1.2	8	9076	6b
2.15	7.85	7521	2
21.7	22.4	13111	9a
1.2	2.1	8778	2
0.05	1	9384	2
42.5	43	11908	7a
1.5	2.25	14404	7e
1	3.6	13662	7c1
0	0.3	8733	1
2.1	4.1	7053	6a
5.2	8	8866	6d2
1	1.3	9266	3
0	3.4	13249	4e
0.2	1.15	8482	2
0.4	2	8243	1-2
57	64	1002	9a
2	2.15	13302	3
5.2	6	12126	2
8	9.7	2713	6b
16.9	37.5	2674	9a
27.3	28.9	7528	12c
34	36	5806	9a
0.5	0.95	9148	6a12
5.8	6.5	9209	7c12
0.4	1.4	12036	6e1
0.4	1.4	13537	4a
6.9	8	9148	6d2
4.2	6	9332	6d
0.3	1.9	8843	6b2
0	1.3	8240	1
12.2	13.9	13739	7a
2.6	8	2435	4b
7	13	13261	6a
30	32.3	7580	12d1
0.4	2.3	7565	4-9a
0	0.2	9114	1
4.1	10	7059	9a
0	1.5	8612	2
16	54	9414	7a
53	63	7045	9a
10	19.6	2498	9a
2.2	3.1	13122	6e
15.7	20	8856	9a
37	37.3	13229	6e
0.8	1.4	1804	4b
7.9	20	13657	9a
14	28	7628	7e
0	0.3	8105	1
11.5	16.1	9113	7e2
1.4	3	13694	6c12
0	0.4	7495	1
0	4	9593	6e
0	0.1	11939	1
30.55	31.75	2371	7d1
28.9	29.7	7994	9a
0.6	0.9	13820	3
0.8	1.85	9081	6b1
2.7	7.6	9103	6b
1.6	4.8	9710	6c1
2	3	2293	3b
0	0.1	8952	2
1.2	3.7	12183	4a
29.3	32.5	13310	9a
20.5	31	7993	7d12
29.5	41.1	11906	6e12
36	41	8223	7d
13.75	67	8228	9a
0.1	1.4	2655	2
2	2.2	12343	2
2.5	3.4	13614	6e12
4	5.5	13982	4
0	1.1	2332	1
6	6.8	13538	7a
8	8.7	13439	6d12
1.5	5.6	13724	7e1
1.75	3	9225	6b1
11.1	16	9198	7c1
1.6	2.1	13681	6b
0.5	4.6	7782	3
10.4	20	9735	9a
42.6	52.7	1327	9a
28.45	28.75	12166	7d1
17.6	18.3	1901	7d1
0.45	13.05	7966	6b
20.9	25.3	8074	9a
5.2	19.8	7070	6e2
32	46	9418	9a
2	17	8515	9a
9.2	13.2	2335	9a
0.8	8	11737	9a
0.4	2.2	9044	6b2
72.4	76.3	1320	12d
2.1	5.1	12112	4a
9.7	15.8	8256	7e
12.5	20.5	7992	6d2
0	0.8	2369	2
0.95	1.9	13533	4c
22	24	8199	7a
0.3	0.6	8862	3
0	1.2	7904	2
2.2	2.6	8820	6e1
2	5.5	2312	2
0	4	6113	7d
3.6	19	8518	9a
6.95	7.5	14465	9a
1.1	3	8831	6e12
0	1.8	13370	2d
13.1	14.95	12553	7d
4.7	6.8	8076	4a
0	0.8	13413	2
21.3	24.3	1935	6d
0.9	6.2	8754	6b
2.05	5	7812	7d12
2.3	3.45	13533	4c
8	15	8343	9a
6	7.35	7044	7d1
5.6	9.6	9304	6e2
2	6	4283	7e
0.9	2	13849	2
4	6	13907	7c1
16.1	20.8	7834	7b
0	1.6	13834	2
44	64	5538	7-12a
19.2	24	13160	9a
38	44	8274	9a
0	0.2	7799	1
1.9	4.5	13477	2
1.85	3.9	13960	4
5.1	9.5	9271	6c2
0.1	0.9	11975	2
0.7	8.5	13963	6
1.1	2	13731	6d1
2.55	13.55	7342	6d
2.1	2.3	13533	4b
13.3	14.5	9679	9a1
2.6	5.6	7875	6d2
2	4	8369	6c2
6.8	7.45	13342	9a
4.6	7.5	10651	6d
18	22	2315	9a
5	9.8	13789	9a
7.15	9.55	14379	10b
0	10.2	2975	2
0.4	0.9	11929	2
6.2	7.9	9752	9a
30.25	35.5	11849	9a
12	36	487	7-12e
0.75	2.4	2341	6b
8.2	11.25	7063	9c
0.5	1.1	8524	3
54.3	56	2497	12d1
4.8	19.5	1336	9a
0	1.05	7505	1
4	12	91	6e
12	22	8276	7e
0.5	1.1	13828	2
1.1	19.5	9577	7d
0	0.9	8792	2
14.45	18	6787	9a
74	80	1278	7a
0.25	0.7	13257	6d12
0.3	0.6	13644	3
4.1	9.1	13500	6b
17.5	24	8066	9a
24	24.7	8093	7d1
0	0.4	8929	1
28.6	30	7983	9a
24	38	923	7d
13.5	16	9436	9a
12	20	7636	7a
0	0.4	12237	1
0.9	4.9	7570	3
2.6	2.9	2441	2
0	0.2	7748	1
1.1	4.4	9107	6b2
2.3	6.7	9606	7d1
1.75	2.45	2652	2
4.3	4.8	13675	7d12
1.3	3.1	14290	3
1.2	1.8	8729	6e1
14.5	18.2	8699	7e2
53.5	65.5	9161	9b
0	0.6	8519	2
0	0.4	8631	1
1.4	3.6	9197	6d2
1.1	2.2	7800	1-2
15	33	1906	9a
0.8	8.45	2370	6c12
4	8	7756	7
4	14	13442	7c
1.6	4.75	9148	6b2
11.5	12.45	6251	7d
80	94	7188	9a
0	0.7	8700	2
0	0.4	2301	2
2.3	2.6	8684	6b
0	0.8	8749	1
2.4	6.1	13829	6d12
2.9	4.9	13515	6a
0.6	3.4	13541	2
3.1	6.8	2449	7d1
3.85	4.65	9291	2
46.4	49.6	14319	7d
51.2	90	1909	9a
4.2	5	13572	9a1
0.7	3.2	7979	6b
1.25	1.4	9089	6a2
0.4	3.5	8455	3
18	20	2798	7e2
52.4	55.7	14340	6e1
17	20.5	13975	7
1.6	2	8703	2
0	1.45	14407	2
0.4	3.3	13725	2
11.4	16	12037	7c1
5.6	14.1	7876	7e12
12	20	4380	7d
4.2	7.2	9276	7e2
0.1	3.3	7737	7d12
12.9	14.1	11208	9a
0.6	0.9	8577	2
76.4	124.6	2081	9a
14	35.5	1919	9a
11.1	13.55	14451	12e
1	1.9	8636	6a1
0	1.1	7694	3
0	0.6	14398	1
0	0.3	13419	1
4.8	8.9	7934	6d2
0	0.3	13423	1
1.1	2.1	8941	6c1
6	10	13558	6c
0.3	0.9	8594	3
10.3	30	7340	9a
1.3	2.1	9267	6b
0.65	8	13857	7c1
0	0.4	8717	1
6	6.3	12126	2
10.1	11.9	13599	7c1
4.4	5.75	13576	9a1
18.7	19.7	2684	9a
8.5	10.3	13497	7d2
0.3	1	13718	3
8	10	286	9a
4.9	5.1	7571	7c1
1.5	33.5	8699	7a
5	13	8695	6e2
9.1	9.35	13774	7d2
8.5	10.4	13620	7d2
17.6	18.5	1926	7d
42	50	13285	9a
70	76	4376	12c
0	1.1	7013	1
3.2	4.8	14372	4a
13.9	15.1	1306	6a
5.9	7.5	8606	7a
32	46	13288	12e
27	33.6	2665	7d
0	0.8	10026	2
4	53	6995	7d
0.65	5.2	14349	2a
0.5	0.9	9224	3
13.8	17	9681	9a1
1.4	2.5	7676	7d12
2.15	4.7	13426	2
0.3	2.4	12314	2
1.7	2	12140	2
8.4	9.5	11950	9a
0.4	2.8	13787	9b
67	68.1	8227	12c
0	0.35	8721	1
0	3.6	12364	2
6	10.5	1811	7a
10.65	11.15	14435	11e
7	7.5	14267	6d
18.9	20	12299	7a
33	48	2521	12c
18	24	12555	6e
0.8	1.1	13617	1
7.6	11.1	9602	7d12
0.2	1.1	9077	2
1	1.85	8662	6b1
0.75	1.8	10748	3c
0	0.4	9083	1
2.8	3.4	12022	4a
0.35	0.6	8722	3c1
4	7.25	14434	10e
0.8	1.6	13824	6d1
1	2	12114	2
1.75	2.5	8056	3
21	22	13277	9a
0.35	0.65	8830	3
4.45	6.2	9072	6c12
2.7	3	8620	2
49.2	53.2	13968	7
0	1.05	2437	2
0.6	1.2	8472	2
0.3	1.1	13650	7d1
3.6	5	9308	6e12
0	1	13136	2
19.6	20.3	7841	14-15
11	14.4	8883	6d2
0.7	1.9	8880	6b
19.5	65	1903	9a
5	12	9247	6e2
46.2	65.6	14284	11e
0	0.3	8393	1
5.2	6	12133	2
10.6	11.2	8946	7d1
0.3	0.65	12322	2
0.8	8	13241	7c1
0.7	1	13297	2
0.3	4	7711	7d12
4.15	4.3	9225	6e2
1.4	3	8067	2
12.4	15	13554	9b
4.35	9.5	8801	6c
0.6	3.8	23003	6d1
8.7	9.2	9633	9a
4	10.4	14430	6e
2.1	3.5	8560	6e12
2.7	2.9	8652	6e1
11.2	15.7	12016	9a
17.1	18	9109	9a
14.2	14.9	13501	7d12
1	26.7	1324	7d
0.2	1.4	12233	3
1.3	9	8353	6d2
4.65	6.15	8897	7e1
32.4	52	8082	9a
0.15	0.3	9134	2
6.8	9.1	9338	6b
2.35	3.85	7464	14-15
0	0.3	9575	1
0	3.2	13840	2
12	14	13837	9a
101.2	102.3	1281	10d
14.7	15	13280	9c
6	7.35	13868	6a
4	6	7653	7a
0	0.3	8512	2
0	4	487	7-12a
0	0.7	7823	2
48	60	14365	12e
1.3	4.8	1699	4a
19.7	22.6	2370	6e12
0.4	0.6	8919	3
2.2	4.5	13131	7c
0	3.6	11757	2
1.1	2.3	9606	7b
0.4	2	12333	2
9.1	14.1	13874	7d
30	40	7613	7a
1.9	2.7	1911	4
0	2.2	13122	6e
4.2	7.3	13279	6b
46	68	6357	7d
0	1.1	13477	2
12	28	5807	9a
1.9	2.7	1210	4b
7.5	13.2	9039	6d
1.9	2	9722	1
8.4	9.5	14389	9e
15.4	19.6	12130	6e12
5.5	8.7	13845	7d
11.4	12.9	8872	7d2
3.55	10.25	13351	9b
7.1	8.4	13155	7d12
8.7	13.5	2682	7c1
0	0.5	11963	2
0.73	1.8	1318	6a
0.6	1.3	13804	2c
0.3	1.2	8389	3
2.6	6	13456	6e1
8.2	10.9	13816	6c12
4.45	9	11957	9a
5.7	6.3	13983	6
0.65	1.2	8320	2
39.7	40	13229	6e
2	4	7502	9b
0.5	2	2659	2
0	0.4	7731	1
0.2	1.1	11953	9a
6.7	9.3	12018	7a
20	22	6244	9a
9.2	34	8956	9a
0	0.4	13573	1
7.3	8	8709	7c1
0.4	0.8	9080	3
28.4	46	9573	9a
4.3	23.05	14283	6d
3.3	6	11746	2
0.8	1.4	13449	2d
12.7	16	9408	6d2
4.7	13.9	13889	6d
1.8	2.8	14413	7e
102.3	118.4	1283	12d
60	83	7478	11b
0	0.7	8888	1
0	0.3	1869	1
1.7	5	8313	6e
2.55	2.7	11975	2
8.5	9.7	11913	7d12
13.4	15.3	13504	6d2
23.5	30	2352	9a
1.9	3.2	9232	6e1
0.2	2.2	7727	2
12	14.6	8848	6d2
4.2	6.3	12190	6e
10	12.3	13961	6
3	3.6	9307	2
2	4.1	13773	6c12
4.2	7.5	13978	6
0.5	4.1	13647	7d1
12	14	11760	6c
9	9.3	13531	9
1.6	2.1	8484	6c1
74	96	11457	9b
3	5.8	1935	6b
0	0.3	13841	1
0	1.6	2570	2
8.2	15.7	13835	6d2
8	27	1871	9a
0	0.6	13891	2
9.4	10	9642	9a
0	4	11673	3d
6.4	7.75	9557	9d
0	0.3	13617	1
1	1.2	14336	2
37.6	38.75	2367	7e1
5.8	6.5	8794	7e
0	1.1	8914	2
0.5	3.4	13910	6e1
0.5	3.8	2552	6e1
8.2	9.1	9153	7d12
1.6	2.5	14257	6b
4	4.3	9294	2
0	7	5805	7e
0	0.4	8323	1
1.2	1.6	9225	6a
2	3.4	13394	6d12
4.9	6.3	13496	6d12
12.4	14.1	13535	9a
1.1	2.2	9328	3
7.5	8.25	14465	9a
46	52	7215	12a
17.1	18	9104	9a
4.2	8	8339	6c
0	0.7	12202	2
1.45	2	2085	4-9b
68.4	70	6667	14-15
2.15	4.6	13777	6c12
0.9	3.3	11875	5e
1.1	1.6	8805	2
6	7	13543	7c1
0	3.8	7611	2
13.8	49.3	2568	9a
1.5	11.3	13702	6c12
11.6	25	9649	9a
1.1	1.7	9556	8b
0	0.3	8825	1
48	50	13160	9a
30	36	8201	7c
42.5	48	1936	7d
0	1.8	13806	2
3.35	9.2	7493	7e12
5.5	7.5	13816	6c1
8.1	10	8880	6d2
2.45	3.3	8628	2
7.3	9.2	13279	6c1
26	33	91	6e
4.1	7.15	14377	9b
0.5	2.9	11924	6d12
4.1	5	9152	6e12
14	14.5	7997	6d
0	0.4	13674	1
0.6	2.1	7775	2
0	6	639	7e
4.9	10.4	7942	7d1
0	0.5	2709	2
17.6	20.1	7865	7d1
0	0.2	9774	1
0	2	9626	1
0.3	1.6	8505	2
2.2	3.2	11930	6a
3.4	5	13911	7c1
4.8	6.8	13110	6e
31.9	33.6	7973	9a
1.5	3.4	9259	6e12
0	1.05	2018	2
0	1.5	12326	2a
5	8	8336	6b
0.2	2	9565	2
0.7	1.2	13570	3d
4.3	13.4	1931	6b
8.9	9.9	1935	6b
0.1	1.1	9354	2
7.3	14.1	7054	7e
2	10	7614	7d
0	5.1	7961	6b
3.5	5.5	9033	6d
0	4.3	7863	5b
0	0.9	8690	2
0	0.7	13569	2
4	5.2	9232	6e2
0	0.3	13713	1
11.7	15.3	9748	7d
10.8	22.75	8001	6d2
4.9	5.8	8625	6a
1	5.7	8265	6b
3	3.25	7989	6b
6	12.5	8887	6e
10.65	11.5	6251	7d
10.3	12	13379	7d
0	0.3	11969	2
12.6	13.1	12553	7e
0	0.1	13566	1
17.4	34	7987	9a
0	0.8	8262	3
2	3.3	12141	6c12
5.5	8.7	13395	7d2
0.8	5	7508	4a
4.8	5.2	1700	7c1
22	48	4260	7c
29.6	32.5	12162	9a
7.9	12	9139	6d2
80	99.5	11861	9a
0	2	90	2
64.8	65.5	1933	9a
2.7	2.7	13712	9a
0	0.1	9253	2
20.3	35.7	2538	9a
3.4	5	8705	7e1
1	11.1	7971	6b
10.5	11.5	13448	9a
6.5	6.7	8541	9c
8.5	10.4	13543	7c1
0	0.4	7615	1-2
54.1	54.7	13968	7
6	16	13143	7d
8	15	8327	7e
1.2	5.9	9338	6b
54	58	14359	7d
0	0.85	7582	1
0	0.25	9284	1
0.9	1.8	8732	6c1
0.1	2.4	8462	1-2
0.85	7.7	7583	7d1
1.4	2.5	2655	2
0	0.1	12133	2
0.7	5.5	8811	6c2
12	20	13116	9a
2	4	9436	9a
0	0.15	14281	1
3.7	6.9	7870	6e2
