bh_ID;ID_UNITE_GEOL;top;bot
2959;18502;358.28;355.93
9761;11126;387.35;383.9
8386;7442;451.3;447.4
1617;5871;403.04;401.99
10916;5370;387.77;379.92
8822;6780;386.93;382.43
11969;21347;398.7;386.5
17208;5638;415.35;412.65
11736;7345;374.15;369.05
16825;3745;402;392
321;21111;339.15;333.2
12441;6820;418;410.9
17516;1448;436.3;433.8
17863;12692;348.05;346.05
2522;7051;446.3;437.35
19058;10525;409.7;406.95
4361;5745;420.27;419.17
11686;7351;392.94;333.94
16565;9340;417.55;399.7
11750;11755;383.1;370.9
7822;9089;419.13;418.38
4149;13841;406.06;405.76
14527;16446;461.62;461.12
18765;9418;371;357
3129;20134;384.4;384
14970;17;392.9;392.6
14213;7748;375.3;375.1
17824;6704;372.5;367.5
5108;15933;363.6;337.5
19552;14197;464.45;462.8
7413;13747;402.2;401.9
16448;7126;254;100
1418;12206;381.79;375.44
19765;14796;442.26;439.41
18757;8545;391.5;385.3
10719;13639;458.7;458.4
16341;15343;328.56;306.96
3143;18943;403.38;400.03
13067;20125;371.9;362.65
11822;13620;401.36;396.76
17504;1413;393.4;391.3
16564;9336;417.2;416.8
2309;22177;425.55;421.95
4103;8834;420.91;420.76
3666;3609;374.8;372.8
7059;5311;414.7;405.4
3207;18630;346.54;341.54
19382;12809;372.3;369.8
13102;20939;397.5;397.48
4236;19767;429.05;421.55
15450;829;427;413
18791;9478;375;373.8
11416;5675;408.7;408.4
19457;13040;419.3;416.8
16646;3858;404;266
6277;8467;391.58;389.08
2385;4462;426.39;425.39
16340;11907;377.58;373.08
15041;7241;381;341
9701;3417;461.05;459.45
17327;192;439.18;438.08
19485;13934;380.2;379.4
17531;1492;438.51;435.41
642;4112;424.68;424.48
19181;11314;433.27;429.77
18075;13987;373.62;361.62
12356;22141;363.33;357.43
1009;15867;367.44;366.04
18873;9944;378.01;376.21
16952;606;421;395
2520;18761;437.35;429
6461;9014;405.29;399.59
15056;11456;427.98;425.48
13441;7679;410.5;409.3
16653;11617;385.5;351.5
4758;9738;390.9;387.7
15019;13223;318;296
15079;7768;475.3;474.4
17475;1285;435.18;421.98
17503;1409;430.81;421.41
2909;8373;420.82;411.72
9569;21786;439.4;436.9
5148;11660;427.3;405
18490;6955;414.3;402.5
119;1946;394.5;367.49
4549;8412;414.58;409.73
3539;1923;336.1;326.9
2130;20006;438;413.9
19395;12839;383.1;380.9
4425;6287;394.8;394
16867;4224;421.9;420.5
14690;13481;399.55;399.25
11302;12098;362.66;358.68
17503;1408;432.61;430.81
14522;16466;392.79;390.6
11717;2710;431.15;386.05
15604;840;401.6;395.6
552;14006;373;372.2
2972;20241;363.4;352.5
10557;18893;457.71;455.51
6818;2525;386.57;357.07
15637;1714;378;376.9
2046;15866;413.8;406.8
12789;9212;419.3;419.65
19026;10442;426.9;408.9
3481;13536;389.14;388.74
11759;17073;376.7;374.6
7446;13769;424.3;420.95
19702;14601;388.97;386.17
2060;7018;406.35;395.7
16061;15497;401;203
14017;7542;361;358
16870;5241;406.11;395.31
2035;21177;372.11;369.11
7955;9096;420.04;401.59
3782;2017;371.8;334.8
17729;6492;447.5;446.9
15913;15624;366;230
3362;20506;449.49;448.1
713;10848;493.95;488.46
2912;4324;410.74;409.69
95;13118;387.8;387.7
14641;4398;419;389
