bh_ID	Strat	top	bot
2959	18	358.28	355.93
9761	18	387.35	383.9
8386	18	451.3	447.4
1617	6	403.04	401.99
10916	8	387.77	379.92
8822	9	386.93	382.43
11969	9	398.7	386.5
17208	7	415.35	412.65
11736	9	374.15	369.05
16825	12	402	392
321	9	339.15	333.2
12441	8	418	410.9
17516	15	436.3	433.8
17863	4	348.05	346.05
2522	18	446.3	437.35
19058	7	409.7	406.95
4361	2	420.27	419.17
11686	7	392.94	333.94
16565	6	417.55	399.7
11750	7	383.1	370.9
7822	6	419.13	418.38
4149	1	406.06	405.76
14527	18	461.62	461.12
18765	9	371	357
3129	9	384.4	384
14970	1	392.9	392.6
14213	1	375.3	375.1
17824	2	372.5	367.5
5108	12	363.6	337.5
19552	7	464.45	462.8
7413	1	402.2	401.9
16448	18	254	100
1418	6	381.79	375.44
19765	12	442.26	439.41
18757	9	391.5	385.3
10719	3	458.7	458.4
16341	18	328.56	306.96
3143	9	403.38	400.03
13067	9	371.9	362.65
11822	7	401.36	396.76
17504	3	393.4	391.3
16564	1	417.2	416.8
2309	18	425.55	421.95
4103	3	420.91	420.76
3666	2	374.8	372.8
7059	7	414.7	405.4
3207	18	346.54	341.54
19382	4	372.3	369.8
13102	9	397.5	397.48
4236	18	429.05	421.55
15450	7	427	413
18791	5	375	373.8
11416	6	408.7	408.4
19457	2	419.3	416.8
16646	18	404	266
6277	7	391.58	389.08
2385	3	426.39	425.39
16340	4	377.58	373.08
15041	9	381	341
9701	7	461.05	459.45
17327	3	439.18	438.08
19485	2	380.2	379.4
17531	6	438.51	435.41
642	6	424.68	424.48
19181	18	433.27	429.77
18075	9	373.62	361.62
12356	9	363.33	357.43
1009	9	367.44	366.04
18873	2	378.01	376.21
16952	7	421	395
2520	18	437.35	429
6461	6	405.29	399.59
15056	18	427.98	425.48
13441	7	410.5	409.3
16653	9	385.5	351.5
4758	4	390.9	387.7
15019	9	318	296
15079	3	475.3	474.4
17475	9	435.18	421.98
17503	7	430.81	421.41
2909	6	420.82	411.72
9569	18	439.4	436.9
5148	7	427.3	405
18490	7	414.3	402.5
119	9	394.5	367.49
4549	6	414.58	409.73
3539	15	336.1	326.9
2130	9	438	413.9
19395	4	383.1	380.9
4425	3	394.8	394
16867	3	421.9	420.5
14690	1	399.55	399.25
11302	9	362.66	358.68
17503	3	432.61	430.81
14522	9	392.79	390.6
11717	7	431.15	386.05
15604	2	401.6	395.6
552	2	373	372.2
2972	9	363.4	352.5
10557	18	457.71	455.51
6818	9	386.57	357.07
15637	4	378	376.9
2046	9	413.8	406.8
12789	6	419.3	419.65
19026	7	426.9	408.9
3481	1	389.14	388.74
11759	18	376.7	374.6
7446	3	424.3	420.95
19702	2	388.97	386.17
2060	7	406.35	395.7
16061	18	401	203
14017	9	361	358
16870	6	406.11	395.31
2035	9	372.11	369.11
7955	6	420.04	401.59
3782	6	371.8	334.8
17729	18	447.5	446.9
15913	18	366	230
3362	9	449.49	448.1
713	18	493.95	488.46
2912	4	410.74	409.69
95	9	387.8	387.7
14641	7	419	389
18968	9	373.42	372.32
19539	6	422.1	419.8
2799	9	363.65	362.7
12088	4	400.7	398.3
18801	18	355	314
13005	2	422.59	422.29
8144	18	480.9	480.8
19613	2	381	377
13078	9	379.96	369.06
11350	9	426.51	419.41
19379	6	400.5	397.9
1984	3	421.35	419.9
11705	39	439	431
15254	2	477.8	475.8
12449	9	383.1	375.2
12715	12	374	321
17118	3	432.5	431.1
17176	1	386.9	386.1
1769	6	415.2	411.2
18874	4	375.59	374.19
5042	9	358.5	358.45
3503	1	426.21	425.51
19373	6	401.8	399.8
16615	6	413.3	406.2
2615	7	397.1	376.9
12095	39	394.8	390.5
19333	1	385.63	383.63
4341	6	426.44	422.34
19185	18	432.05	429.75
7413	6	401.6	399.8
9129	6	406.7	405.7
19112	2	391.8	391.1
17301	9	370	332
14434	18	460.74	455.84
3617	9	329.9	311.3
17897	12	366.9	311.9
6265	9	381.65	377.65
763	18	310.7	308.35
6603	6	405.75	397.85
3321	1	423.5	423.2
19740	1	400.8	400.5
8231	9	364.8	355.1
684	18	369.02	367.97
17503	2	432.91	432.61
7183	3	462.7	450.4
19244	2	467.85	461.8
15477	18	373	301
19661	2	377.56	369.76
15457	7	426	346
12940	9	398	384
6761	3	419.09	418.89
10025	7	449.47	443.87
10556	18	455.62	453.42
19532	7	376.3	373.4
17469	12	363.49	358.09
558	1	379.2	377
19749	1	462.42	460.22
17291	9	397.33	385.33
2735	9	393.88	388.33
2522	7	455.7	446.3
15020	18	377	315
12508	4	384.09	383.39
17749	2	353.4	351.4
13419	4	376.5	374.2
12913	6	398.32	395.62
14424	9	373.4	369.1
7224	18	356.67	351.77
15446	9	399	361
13498	7	500.4	470.9
19456	12	393.4	356.4
7083	9	405.54	401.34
2557	1	403.84	403.24
6774	18	424	417.4
9333	9	389.57	386.37
17326	2	441.62	440.62
7082	9	430.28	427.98
12597	18	474	332
17755	2	414	413.35
17443	1	380.83	380.52
19162	2	384.6	382.5
18925	2	433.2	431.55
19266	9	400	396
5312	7	433.88	431.38
17197	2	455.6	451.8
14430	1	423.35	423.05
16355	9	369.48	367.78
14642	18	412	316
17542	7	354.96	353.66
7530	4	410.73	409.63
3439	7	421.4	418.9
8930	9	413.1	409.8
11415	6	407.9	406.6
15312	3	429.3	428.2
19678	1	389	388.65
18756	3	387.4	387.1
12848	7	409.7	407.3
15944	2	349.79	349.29
6210	1	407.39	406.99
16191	7	416.5	410
17542	6	376.56	354.96
15494	18	302	237
1375	9	366.76	364.26
5118	3	401.15	399.75
3924	9	394.6	391.5
11017	1	425.5	425.2
1791	6	396.99	392.79
18785	18	271.8	267.8
5591	6	416.6	389.1
16437	7	388	348
12039	18	393.25	386.35
14528	18	460.92	460.12
19757	18	435.38	433.88
13082	7	395.13	386.83
1094	7	409.54	407.94
19219	4	380.87	378.87
3739	9	415.8	412.6
1272	12	366.59	358.29
14361	18	376	242
4023	2	404.36	401.31
13136	4	373.69	369.14
11700	18	375.25	374.25
4013	18	447.3	431.7
