X_CH1903+;Y_CH1903+;PZ_31082020
2501774;1127494;381.02
2501805.8;1126866.95;376.52
2501885;1126500;373.98
2501636;1126414;376.98
2501805.76;1126872.89;376.52
2501885.13;1126680.51;376.38
2501771.17;1126713.05;376.04
2500791;1127479;392.66
2501490;1126281;380.26
2501590.28;1127116.24;380.99
2502057;1127159;376.53
2501868;1127083;376.07
2501893;1126994;376.05
2501526;1127436;380.91
2501752;1127023;380.96
2501900.63;1127396.16;381
2500389;1126348;391.73
2501897;1126795;376.4
2502109;1126983;374.965
2501978.65;1126970.19;376.28
2502126.1;1127017.4;375.32
2500432;1126978;394.55
