ID_ADMIN;COORD_X;COORD_Y;ALT_TERRAI;PROFONDE_1
18793;2502144.7;1127037.5;376.25;7
19110;2501838;1127336;391.9;10
18033;2500052;1126270;395.1;10
18034;2499937;1126198;400.7;9
18790;2502109.79;1127030.32;376.3;10
19335;2501868;1127083;386.7;40
19113;2501859;1127369;391.2;8
18828;2501650.95;1127568.97;398.35;36.5
19108;2501888.01;1127388.98;389.7;5
19109;2501877;1127353;390.1;5
19461;2501148;1128107;423.15;32
18032;2499864;1126341;407.4;13.5
18792;2502162.7;1127022.5;375.7;8
18786;2501978.65;1126970.19;382.85;9
19107;2501877;1127382;389.7;5
19112;2501838;1127366;391.8;10
19172;2501897;1126795;385.3;15
18707;2501635;1126413;395.69;56
18791;2502126.1;1127017.4;375.9;8
18710;2501806;1126874;388.03;40.5
18788;2502018.14;1126942.04;382.15;8
19111;2501880;1127330;390.3;8
18035;2499897;1126117;400.7;10
19610;2500970;1126475;423;250
18709;2501880.94;1126649.04;384.71;28.3
18708;2501885;1126500;384.8;18
19333;2501893;1126994;385.63;40.5
18789;2502046.94;1126960.04;380.1;9
18787;2502001.24;1126967.08;381.95;8
8834;2501793.27;1126890.22;388.23;2.4
16434;2501472;1126293;403;160
9948;2502084.29;1126025.2;374.7;1.8
4624;2502004.26;1127490.26;384;3
14059;2501168.7;1127190.6;424;136
1228;2501936.29;1125813.19;375.7;15.2
4080;2499823.29;1126203.29;403.4;15
8539;2500961.22;1126715.24;425.4;3.6
13394;2501421.94;1127024.64;405;12
5245;2501955.26;1127515.26;385.5;4.5
2734;2501591.29;1126050.18;404.16;10.5
8188;2501149.26;1127420.25;425.5;2.3
12007;2501755.54;1127395.45;392.35;3.2
5633;2501394.26;1126005.2;392.9;2
10793;2501891.3;1125878.18;378.93;12
14562;2501695.28;1126469.19;393.05;4.2
5734;2500969.25;1128010.28;425;2.3
8050;2502139.25;1127534.26;381.3;2.6
6569;2501443.31;1126019.26;401.2;4
11888;2499955.2;1126404.28;409;5
9583;2501039.26;1127260.23;421.9;2.1
8049;2502185.26;1127465.26;381.6;2.7
3835;2500218.25;1126437.26;409.16;11
1455;2499999.27;1126240.29;400.4;12.5
9960;2501514.25;1127745.27;405;7.8
4553;2502091.29;1125837.2;374;1.7
2342;2501669.27;1126705.2;396.25;2.9
12270;2501810.47;1125910.41;377.91;8
10640;2501964.27;1126953.24;383.6;3.1
12018;2500295.07;1126404.37;406.68;12.8
6773;2502065.29;1126015.2;375.15;25
16811;2501866;1126627;385.3;6
11545;2501267.24;1126028.21;384.4;1.9
1235;2501889.3;1126185.19;388.1;15.3
1083;2501909.27;1127056.24;385;10.25
12646;2500973.22;1126635.24;424.9;1.55
8613;2501937.26;1127370.27;387.7;15
1241;2501902.27;1127070.25;385.4;21.4
8753;2501564.27;1126612.2;400.5;4.7
8999;2501785.27;1126848.22;389.84;17
1236;2501893.3;1126224.19;386.2;15.1
11249;2500208.25;1126435.26;407.7;13.55
16944;2500791;1127479;420;60
8069;2501779.27;1126708.21;387.85;19.5
9963;2501764.24;1127780.27;390;4
6077;2501669.27;1126815.21;395.73;20
14423;2501869.3;1125867.19;377.5;15.4
9753;2501899.3;1125880.18;377.47;5
1464;2500399.23;1127310.26;423.89;12.65
